"","theta_pm","theta_cb","theta_gr","theta_ml"
"[-6,-5.76)",0,0,1e-04,0.0054
"[-5.76,-5.52)",0,2e-04,4e-04,0.0077
"[-5.52,-5.28)",0,2e-04,5e-04,0.0063
"[-5.28,-5.04)",0,8e-04,0.0014,0.0079
"[-5.04,-4.8)",0,0.0011,0.0011,0.0102
"[-4.8,-4.56)",0,0.0013,0.0019,0.0107
"[-4.56,-4.32)",0,0.0018,0.0025,0.0127
"[-4.32,-4.08)",0,0.0034,0.0039,0.013
"[-4.08,-3.84)",0,0.0038,0.0044,0.0153
"[-3.84,-3.6)",0,0.0059,0.0048,0.017
"[-3.6,-3.36)",0,0.0075,0.0079,0.0158
"[-3.36,-3.12)",1e-04,0.0092,0.0092,0.0171
"[-3.12,-2.88)",1e-04,0.0123,0.0117,0.0217
"[-2.88,-2.64)",2e-04,0.0154,0.0143,0.0194
"[-2.64,-2.4)",0.0021,0.0199,0.018,0.025
"[-2.4,-2.16)",0.0031,0.0247,0.0223,0.0247
"[-2.16,-1.92)",0.007,0.0274,0.0258,0.023
"[-1.92,-1.68)",0.0134,0.0354,0.0309,0.0232
"[-1.68,-1.44)",0.0223,0.0372,0.0352,0.0287
"[-1.44,-1.2)",0.0373,0.0418,0.0417,0.0253
"[-1.2,-0.96)",0.0537,0.0437,0.0456,0.0277
"[-0.96,-0.72)",0.0732,0.0483,0.0502,0.0271
"[-0.72,-0.48)",0.0904,0.0569,0.0545,0.0279
"[-0.48,-0.24)",0.0998,0.053,0.0562,0.026
"[-0.24,0)",0.1086,0.0529,0.0568,0.0289
"[0,0.24)",0.1062,0.0525,0.0569,0.026
"[0.24,0.48)",0.0902,0.0509,0.0555,0.0307
"[0.48,0.72)",0.0785,0.0521,0.0533,0.0253
"[0.72,0.96)",0.0631,0.05,0.0491,0.0253
"[0.96,1.2)",0.0529,0.045,0.0451,0.0283
"[1.2,1.44)",0.0339,0.0408,0.0399,0.0259
"[1.44,1.68)",0.025,0.035,0.0351,0.0269
"[1.68,1.92)",0.0163,0.0323,0.0303,0.0267
"[1.92,2.16)",0.0106,0.0268,0.0259,0.0226
"[2.16,2.4)",0.0057,0.0205,0.0217,0.0251
"[2.4,2.64)",0.0021,0.0205,0.0183,0.0193
"[2.64,2.88)",0.0025,0.0143,0.0144,0.0209
"[2.88,3.12)",7e-04,0.0132,0.0115,0.0201
"[3.12,3.36)",6e-04,0.0105,0.0102,0.0189
"[3.36,3.6)",3e-04,0.0082,0.0077,0.0182
"[3.6,3.84)",0,0.0064,0.0055,0.0154
"[3.84,4.08)",1e-04,0.0044,0.0049,0.0117
"[4.08,4.32)",0,0.0037,0.0042,0.0123
"[4.32,4.56)",0,0.0023,0.002,0.0108
"[4.56,4.8)",0,0.0019,0.0018,0.0096
"[4.8,5.04)",0,0.001,0.002,0.0099
"[5.04,5.28)",0,0.0011,0.0013,0.0085
"[5.28,5.52)",0,8e-04,8e-04,0.0085
"[5.52,5.76)",0,4e-04,6e-04,0.0082
"[5.76,6)",0,7e-04,3e-04,0.0063
