"","theta_pm","theta_cb","theta_gr","theta_ml"
"[-6,-5.76)",0,0,0,0.0063
"[-5.76,-5.52)",0,0,1e-04,0.0068
"[-5.52,-5.28)",0,1e-04,2e-04,0.0086
"[-5.28,-5.04)",0,2e-04,4e-04,0.0078
"[-5.04,-4.8)",0,2e-04,4e-04,0.0095
"[-4.8,-4.56)",0,4e-04,1e-04,0.0116
"[-4.56,-4.32)",0,0,3e-04,0.0108
"[-4.32,-4.08)",0,1e-04,6e-04,0.0129
"[-4.08,-3.84)",1e-04,6e-04,0.0011,0.0137
"[-3.84,-3.6)",1e-04,5e-04,6e-04,0.0147
"[-3.6,-3.36)",0,8e-04,0.0012,0.0181
"[-3.36,-3.12)",0,0.002,0.002,0.0206
"[-3.12,-2.88)",0,0.0023,0.0027,0.0225
"[-2.88,-2.64)",3e-04,0.0022,0.0019,0.0245
"[-2.64,-2.4)",1e-04,0.0031,0.004,0.0206
"[-2.4,-2.16)",3e-04,0.0052,0.0054,0.0232
"[-2.16,-1.92)",8e-04,0.0068,0.0064,0.0234
"[-1.92,-1.68)",0.0015,0.0105,0.0082,0.0258
"[-1.68,-1.44)",0.0021,0.017,0.0129,0.0245
"[-1.44,-1.2)",0.0039,0.0262,0.0188,0.0248
"[-1.2,-0.96)",0.0086,0.0474,0.0323,0.027
"[-0.96,-0.72)",0.033,0.064,0.0539,0.0272
"[-0.72,-0.48)",0.0742,0.0956,0.0854,0.0281
"[-0.48,-0.24)",0.1502,0.1061,0.1182,0.0311
"[-0.24,0)",0.1823,0.1156,0.144,0.0302
"[0,0.24)",0.29,0.1248,0.1456,0.03
"[0.24,0.48)",0.1463,0.1028,0.1212,0.0297
"[0.48,0.72)",0.0587,0.0783,0.0826,0.0304
"[0.72,0.96)",0.0268,0.059,0.0506,0.0279
"[0.96,1.2)",0.0116,0.0434,0.0302,0.0247
"[1.2,1.44)",0.0041,0.0245,0.0194,0.0242
"[1.44,1.68)",0.0018,0.0208,0.0118,0.0266
"[1.68,1.92)",0.001,0.0109,0.0092,0.0213
"[1.92,2.16)",8e-04,0.0086,0.0064,0.0227
"[2.16,2.4)",3e-04,0.0055,0.0046,0.0214
"[2.4,2.64)",2e-04,0.0038,0.0043,0.0201
"[2.64,2.88)",1e-04,0.0037,0.0029,0.0185
"[2.88,3.12)",3e-04,0.0018,0.0021,0.0178
"[3.12,3.36)",0,9e-04,0.0016,0.0173
"[3.36,3.6)",2e-04,6e-04,0.0016,0.0179
"[3.6,3.84)",2e-04,8e-04,7e-04,0.0145
"[3.84,4.08)",0,3e-04,0.0011,0.015
"[4.08,4.32)",1e-04,2e-04,7e-04,0.0124
"[4.32,4.56)",0,3e-04,6e-04,0.0118
"[4.56,4.8)",0,4e-04,3e-04,0.0101
"[4.8,5.04)",0,2e-04,1e-04,0.0102
"[5.04,5.28)",0,6e-04,2e-04,0.0111
"[5.28,5.52)",0,1e-04,4e-04,0.0097
"[5.52,5.76)",0,1e-04,0,0.0065
"[5.76,6)",0,0,1e-04,0.006
