"","quantity","estimator","value"
"1","mean","PM",0.0527070193312555
"2","mean","CB",0.0527070193312555
"3","mean","GR",0.0527089654110455
"4","mean","ML",0.0478401770495851
"5","var","PM",0.0800415220309308
"6","var","CB",0.701129028243976
"7","var","GR",0.68041614076876
"8","var","ML",16.2093342942796
"9","var","true",1.01536662000246
"10","SSEL","PM",1.01499132498734
"11","SSEL","CB",1.24904756675696
"12","SSEL","GR",1.25492835552103
"13","SSEL","ML",15.1677841843426
"14","WSSEL","PM",101.499132498734
"15","WSSEL","CB",124.904756675696
"16","WSSEL","GR",125.492835552103
"17","WSSEL","ML",1516.77841843426
"18","ISEL","PM",0.20040906934371
"19","ISEL","CB",0.0807327717651877
"20","ISEL","GR",0.0887982634259872
"21","ISEL","ML",0.379717534680745
"22","SELrank","PM",0.114082678168807
"23","SELrank","CB",0.114082678168807
"24","SELrank","GR",0.115251994902461
"25","SELrank","ML",0.11986824821096
