"","quantity","estimator","value"
"1","mean","PM",-0.023789537246181
"2","mean","CB",-0.023789537246181
"3","mean","GR",-0.0238824844859466
"4","mean","ML",-0.0111534459329137
"5","var","PM",0.108068665419737
"6","var","CB",0.833443427369654
"7","var","GR",0.791729464972589
"8","var","ML",15.9223448422609
"9","var","true",1.01459535083673
"10","SSEL","PM",1.00768199299457
"11","SSEL","CB",1.32609719093964
"12","SSEL","GR",1.31050603710117
"13","SSEL","ML",15.0420742570978
"14","WSSEL","PM",100.768199299457
"15","WSSEL","CB",132.609719093964
"16","WSSEL","GR",131.050603710117
"17","WSSEL","ML",1504.20742570978
"18","ISEL","PM",0.17906674498961
"19","ISEL","CB",0.0646550960111
"20","ISEL","GR",0.0704061748215573
"21","ISEL","ML",0.369955656296068
"22","SELrank","PM",0.115491402803647
"23","SELrank","CB",0.115491402803647
"24","SELrank","GR",0.116050426428781
"25","SELrank","ML",0.122627663954514
