"","quantity","truth","N","ICC","rsr","assumed","estimator","value"
"1","ISEL","Gaussian","N = 25","ICC = 0.1","R = 1","Gaussian","ML",0.39691382855619
"2","ISEL","Gaussian","N = 25","ICC = 0.1","R = 1","Gaussian","PM",0.262270595807585
"3","ISEL","Gaussian","N = 25","ICC = 0.1","R = 1","Gaussian","CB",0.139967075459384
"4","ISEL","Gaussian","N = 25","ICC = 0.1","R = 1","Gaussian","GR",0.131452961441588
"5","ISEL","Gaussian","N = 25","ICC = 0.1","R = 1","T","ML",0.39691382855619
"6","ISEL","Gaussian","N = 25","ICC = 0.1","R = 1","T","PM",0.258915652690359
"7","ISEL","Gaussian","N = 25","ICC = 0.1","R = 1","T","CB",0.141583365328741
"8","ISEL","Gaussian","N = 25","ICC = 0.1","R = 1","T","GR",0.13262241041712
"9","ISEL","Gaussian","N = 25","ICC = 0.1","R = 1","DP-diffuse","ML",0.39691382855619
"10","ISEL","Gaussian","N = 25","ICC = 0.1","R = 1","DP-diffuse","PM",0.276400171383607
"11","ISEL","Gaussian","N = 25","ICC = 0.1","R = 1","DP-diffuse","CB",0.206286201227345
"12","ISEL","Gaussian","N = 25","ICC = 0.1","R = 1","DP-diffuse","GR",0.185091095255557
"13","ISEL","Gaussian","N = 25","ICC = 0.1","R = 5","Gaussian","ML",0.387683611032216
"14","ISEL","Gaussian","N = 25","ICC = 0.1","R = 5","Gaussian","PM",0.217304130424597
"15","ISEL","Gaussian","N = 25","ICC = 0.1","R = 5","Gaussian","CB",0.0919060156173195
"16","ISEL","Gaussian","N = 25","ICC = 0.1","R = 5","Gaussian","GR",0.0910553085915922
"17","ISEL","Gaussian","N = 25","ICC = 0.1","R = 5","T","ML",0.387683611032216
"18","ISEL","Gaussian","N = 25","ICC = 0.1","R = 5","T","PM",0.214416322606479
"19","ISEL","Gaussian","N = 25","ICC = 0.1","R = 5","T","CB",0.0941630238692199
"20","ISEL","Gaussian","N = 25","ICC = 0.1","R = 5","T","GR",0.091680012179557
"21","ISEL","Gaussian","N = 25","ICC = 0.1","R = 5","DP-diffuse","ML",0.387683611032216
"22","ISEL","Gaussian","N = 25","ICC = 0.1","R = 5","DP-diffuse","PM",0.193804074463073
"23","ISEL","Gaussian","N = 25","ICC = 0.1","R = 5","DP-diffuse","CB",0.117949637656589
"24","ISEL","Gaussian","N = 25","ICC = 0.1","R = 5","DP-diffuse","GR",0.1031944191966
"25","ISEL","Gaussian","N = 25","ICC = 0.1","R = 10","Gaussian","ML",0.434593995515742
"26","ISEL","Gaussian","N = 25","ICC = 0.1","R = 10","Gaussian","PM",0.204478321160716
"27","ISEL","Gaussian","N = 25","ICC = 0.1","R = 10","Gaussian","CB",0.0975824192361286
"28","ISEL","Gaussian","N = 25","ICC = 0.1","R = 10","Gaussian","GR",0.093127990229082
"29","ISEL","Gaussian","N = 25","ICC = 0.1","R = 10","T","ML",0.434593995515742
"30","ISEL","Gaussian","N = 25","ICC = 0.1","R = 10","T","PM",0.202267977522997
"31","ISEL","Gaussian","N = 25","ICC = 0.1","R = 10","T","CB",0.0963643134052379
