,predictor_Gaussian,estimate_Gaussian,t-value_Gaussian,predictor_T,estimate_T,t-value_T,predictor_ALD,estimate_ALD,t-value_ALD,predictor_Bimodal,estimate_Bimodal,t-value_Bimodal,predictor_Skew,estimate_Skew,t-value_Skew,predictor_Mixed,estimate_Mixed,t-value_Mixed
1,(Intercept),251,38.7,(Intercept),238,38.9,(Intercept),280,37.7,(Intercept),279,50,(Intercept),271,38.2,(Intercept),269,41.8
2,NN50,-52,-10,NN50,-60,-11.5,NN50,-85,-14.7,NN50,-46,-9.7,NN50,-49,-8.4,NN50,-38,-6.8
3,NN200,-90,-19.2,NN200,-104,-23.2,NN200,-119,-22.4,NN200,-90,-20.9,NN200,-95,-18.9,NN200,-82,-17.1
4,II0.5,-177,-36.5,II0.5,-166,-35.1,II0.5,-186,-33.9,II0.5,-188,-42.2,II0.5,-194,-36.4,II0.5,-179,-35.6
5,II0.9,-226,-47.8,II0.9,-214,-46.8,II0.9,-247,-46.4,II0.9,-253,-59.6,II0.9,-246,-47.5,II0.9,-243,-50.2
6,RR5,-41,-8.1,RR5,-24,-4.7,RR5,-42,-7.2,RR5,-22,-4.4,RR5,-36,-6.4,RR5,-16,-2.9
7,RR10,-47,-9.4,RR10,-32,-6.4,RR10,-58,-10.2,RR10,-42,-9.5,RR10,-48,-8.9,RR10,-55,-11.3
8,anlDP_diffuse,4,0.7,anlDP_diffuse,16,2.9,anlDP_diffuse,20,3.3,anlDP_diffuse,-4,-0.9,anlDP_diffuse,3,0.5,anlDP_diffuse,4,0.6
9,anlDP_Inform,-3,-0.6,anlDP_Inform,-2,-0.5,anlDP_Inform,2,0.3,anlDP_Inform,-4,-0.8,anlDP_Inform,-4,-0.8,anlDP_Inform,-3,-0.5
10,estCB,-105,-20.7,estCB,-94,-19.1,estCB,-88,-15.4,estCB,-124,-27,estCB,-109,-19.7,estCB,-107,-20.5
11,estGR,-111,-21.8,estGR,-101,-20.3,estGR,-95,-16.7,estGR,-126,-27.3,estGR,-114,-20.3,estGR,-110,-20.8
12,NN50:II0.5,22,6.6,NN50:II0.5,33,9.3,NN50:II0.5,47,12.1,NN50:II0.5,22,6.6,NN50:II0.5,24,6.3,NN50:II0.5,17,4.6
13,NN200:II0.5,39,12.8,NN200:II0.5,50,16.1,NN200:II0.5,63,18.1,NN200:II0.5,43,14.4,NN200:II0.5,48,14.7,NN200:II0.5,37,11.4
14,NN50:II0.9,36,11.1,NN50:II0.9,48,13.9,NN50:II0.9,60,16.1,NN50:II0.9,35,10.9,NN50:II0.9,37,10.1,NN50:II0.9,30,8.2
15,NN200:II0.9,62,21,NN200:II0.9,76,25.2,NN200:II0.9,88,26.1,NN200:II0.9,67,23,NN200:II0.9,70,21.9,NN200:II0.9,60,18.8
16,NN50:RR5,13,4.3,NN50:RR5,7,2.4,NN50:RR5,21,6.1,NN50:RR5,4,1.2,NN50:RR5,0,0,NN50:RR5,-4,-1.1
17,NN200:RR5,14,5.1,NN200:RR5,9,3.6,NN200:RR5,15,5,NN200:RR5,4,1.4,NN200:RR5,8,2.7,NN200:RR5,3,1.2
18,NN50:RR10,8,2.7,NN50:RR10,-9,-2.9,NN50:RR10,19,5.9,NN50:RR10,9,3.4,NN50:RR10,8,2.3,NN50:RR10,5,1.8
19,NN200:RR10,9,3.4,NN200:RR10,0,0.1,NN200:RR10,15,5.1,NN200:RR10,8,3.5,NN200:RR10,10,3.6,NN200:RR10,13,5.1
20,NN50:anlDP_diffuse,-2,-0.9,NN50:anlDP_diffuse,-1,-0.4,NN50:anlDP_diffuse,-1,-0.2,NN50:anlDP_diffuse,-6,-2.2,NN50:anlDP_diffuse,-4,-1.1,NN50:anlDP_diffuse,-3,-0.9
