"","truth","N","ICC","rsr","assumed","df","fname","dg_name"
"1","Gaussian",25,0.1,1,"Gaussian",5,"Gaussian_25_0.1_1_Gaussian","Gaussian_25_0.1_1"
"2","Gaussian",25,0.1,1,"T",5,"Gaussian_25_0.1_1_T","Gaussian_25_0.1_1"
"3","Gaussian",25,0.1,1,"DP-diffuse",5,"Gaussian_25_0.1_1_DP-diffuse","Gaussian_25_0.1_1"
"4","Gaussian",25,0.1,1,"DP-EB",5,"Gaussian_25_0.1_1_DP-EB","Gaussian_25_0.1_1"
"5","Gaussian",25,0.1,5,"Gaussian",5,"Gaussian_25_0.1_5_Gaussian","Gaussian_25_0.1_5"
"6","Gaussian",25,0.1,5,"T",5,"Gaussian_25_0.1_5_T","Gaussian_25_0.1_5"
"7","Gaussian",25,0.1,5,"DP-diffuse",5,"Gaussian_25_0.1_5_DP-diffuse","Gaussian_25_0.1_5"
"8","Gaussian",25,0.1,5,"DP-EB",5,"Gaussian_25_0.1_5_DP-EB","Gaussian_25_0.1_5"
"9","Gaussian",25,0.1,10,"Gaussian",5,"Gaussian_25_0.1_10_Gaussian","Gaussian_25_0.1_10"
"10","Gaussian",25,0.1,10,"T",5,"Gaussian_25_0.1_10_T","Gaussian_25_0.1_10"
"11","Gaussian",25,0.1,10,"DP-diffuse",5,"Gaussian_25_0.1_10_DP-diffuse","Gaussian_25_0.1_10"
"12","Gaussian",25,0.1,10,"DP-EB",5,"Gaussian_25_0.1_10_DP-EB","Gaussian_25_0.1_10"
"13","Gaussian",25,0.5,1,"Gaussian",5,"Gaussian_25_0.5_1_Gaussian","Gaussian_25_0.5_1"
"14","Gaussian",25,0.5,1,"T",5,"Gaussian_25_0.5_1_T","Gaussian_25_0.5_1"
"15","Gaussian",25,0.5,1,"DP-diffuse",5,"Gaussian_25_0.5_1_DP-diffuse","Gaussian_25_0.5_1"
"16","Gaussian",25,0.5,1,"DP-EB",5,"Gaussian_25_0.5_1_DP-EB","Gaussian_25_0.5_1"
"17","Gaussian",25,0.5,5,"Gaussian",5,"Gaussian_25_0.5_5_Gaussian","Gaussian_25_0.5_5"
"18","Gaussian",25,0.5,5,"T",5,"Gaussian_25_0.5_5_T","Gaussian_25_0.5_5"
"19","Gaussian",25,0.5,5,"DP-diffuse",5,"Gaussian_25_0.5_5_DP-diffuse","Gaussian_25_0.5_5"
"20","Gaussian",25,0.5,5,"DP-EB",5,"Gaussian_25_0.5_5_DP-EB","Gaussian_25_0.5_5"
"21","Gaussian",25,0.5,10,"Gaussian",5,"Gaussian_25_0.5_10_Gaussian","Gaussian_25_0.5_10"
"22","Gaussian",25,0.5,10,"T",5,"Gaussian_25_0.5_10_T","Gaussian_25_0.5_10"
"23","Gaussian",25,0.5,10,"DP-diffuse",5,"Gaussian_25_0.5_10_DP-diffuse","Gaussian_25_0.5_10"
"24","Gaussian",25,0.5,10,"DP-EB",5,"Gaussian_25_0.5_10_DP-EB","Gaussian_25_0.5_10"
